,Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants
586,586,27,MNG,0,2,2,4,1980,29.0
587,587,28,TZA,0,2,0,2,1980,29.0
588,588,29,MEX,0,1,3,4,1980,44.0
589,589,30,NLD,0,1,2,3,1980,47.0
590,590,31,IRL,0,1,1,2,1980,63.0
591,591,32,UGA,0,1,0,1,1980,52.0
592,592,32,VEN,0,1,0,1,1980,2.0
593,593,34,JAM,0,0,3,3,1980,65.0
594,594,35,GUY,0,0,1,1,1980,33.0
595,595,35,LBN,0,0,1,1,1980,1.0
596,596,1,USA,83,61,30,174,1984,323.0
597,597,2,ROU,20,16,17,53,1984,427.0
598,598,3,DEU,17,19,23,59,1984,394.0
599,599,4,CHN,15,8,9,32,1984,438.0
600,600,5,ITA,14,6,12,32,1984,414.0
601,601,6,CAN,10,18,16,44,1984,518.0
602,602,7,JPN,10,8,14,32,1984,730.0
603,603,8,NZL,8,1,2,11,1984,479.0
604,604,9,YUG,7,4,7,18,1984,499.0
605,605,10,KOR,6,6,7,19,1984,574.0
606,606,11,GBR,5,11,21,37,1984,587.0
607,607,12,FRA,5,7,16,28,1984,10.0
608,608,13,NLD,5,2,6,13,1984,11.0
609,609,14,AUS,4,8,12,24,1984,13.0
610,610,15,FIN,4,2,6,12,1984,11.0
611,611,16,SWE,2,11,6,19,1984,18.0
612,612,17,MEX,2,3,1,6,1984,29.0
613,613,18,MAR,2,0,0,2,1984,18.0
614,614,19,BRA,1,5,2,8,1984,13.0
615,615,20,ESP,1,2,2,5,1984,18.0
616,616,21,BEL,1,1,2,4,1984,5.0
617,617,22,AUT,1,1,1,3,1984,22.0
618,618,23,KEN,1,0,2,3,1984,10.0
619,619,23,PRT,1,0,2,3,1984,15.0
620,620,25,PAK,1,0,0,1,1984,32.0
621,621,26,CHE,0,4,4,8,1984,18.0
622,622,27,DNK,0,3,3,6,1984,2.0
623,623,28,JAM,0,1,2,3,1984,5.0
624,624,28,NOR,0,1,2,3,1984,18.0
625,625,30,GRC,0,1,1,2,1984,4.0
626,626,30,NGA,0,1,1,2,1984,29.0
627,627,30,PRI,0,1,1,2,1984,56.0
628,628,33,COL,0,1,0,1,1984,21.0
629,629,33,EGY,0,1,0,1,1984,12.0
630,630,33,IRL,0,1,0,1,1984,19.0
631,631,33,CIV,0,1,0,1,1984,39.0
632,632,33,PER,0,1,0,1,1984,19.0
633,633,33,SYR,0,1,0,1,1984,32.0
634,634,33,THA,0,1,0,1,1984,32.0
635,635,40,TUR,0,0,3,3,1984,22.0
636,636,40,VEN,0,0,3,3,1984,12.0
637,637,42,DZA,0,0,2,2,1984,6.0
638,638,43,CMR,0,0,1,1,1984,8.0
639,639,43,TWN,0,0,1,1,1984,9.0
640,640,43,DOM,0,0,1,1,1984,21.0
641,641,43,ISL,0,0,1,1,1984,19.0
642,642,43,ZMB,0,0,1,1,1984,14.0
644,644,2,DDR,37,35,30,102,1988,6.0
645,645,3,USA,36,31,27,94,1988,5.0
646,646,4,KOR,12,10,11,33,1988,4.0
647,647,5,DEU,11,14,15,40,1988,4.0
648,648,6,HUN,11,6,6,23,1988,7.0
649,649,7,BGR,10,12,13,35,1988,6.0
650,650,8,ROU,7,11,6,24,1988,8.0
651,651,9,FRA,6,4,6,16,1988,2.0
652,652,10,ITA,6,4,4,14,1988,3.0
653,653,11,CHN,5,11,12,28,1988,2.0
654,654,12,GBR,5,10,9,24,1988,3.0
655,655,13,KEN,5,2,2,9,1988,4.0
656,656,14,JPN,4,3,7,14,1988,9.0
657,657,15,AUS,3,6,5,14,1988,9.0
658,658,16,YUG,3,4,5,12,1988,9.0
660,660,18,NZL,3,2,8,13,1988,1.0
661,661,19,CAN,3,2,5,10,1988,2.0
662,662,20,POL,2,5,9,16,1988,6.0
663,663,21,NOR,2,3,0,5,1988,11.0
664,664,22,NLD,2,2,5,9,1988,47.0
665,665,23,DNK,2,1,1,4,1988,23.0
666,666,24,BRA,1,2,3,6,1988,40.0
667,667,25,FIN,1,1,2,4,1988,70.0
668,668,25,ESP,1,1,2,4,1988,75.0
669,669,27,TUR,1,1,0,2,1988,44.0
670,670,28,MAR,1,0,2,3,1988,28.0
671,671,29,AUT,1,0,0,1,1988,48.0
672,672,29,PRT,1,0,0,1,1988,57.0
673,673,29,SUR,1,0,0,1,1988,61.0
674,674,32,SWE,0,4,7,11,1988,62.0
675,675,33,CHE,0,2,2,4,1988,54.0
676,676,34,JAM,0,2,0,2,1988,71.0
677,677,35,ARG,0,1,1,2,1988,90.0
678,678,36,CHL,0,1,0,1,1988,120.0
679,679,36,CRI,0,1,0,1,1988,157.0
680,680,36,IDN,0,1,0,1,1988,77.0
681,681,36,IRN,0,1,0,1,1988,105.0
683,683,36,PER,0,1,0,1,1988,2.0
684,684,36,SEN,0,1,0,1,1988,3.0
685,685,36,VGB,0,1,0,1,1988,3.0
686,686,44,BEL,0,0,2,2,1988,3.0
687,687,44,MEX,0,0,2,2,1988,4.0
688,688,46,COL,0,0,1,1,1988,3.0
689,689,46,DJI,0,0,1,1,1988,5.0
690,690,46,GRC,0,0,1,1,1988,3.0
691,691,46,MNG,0,0,1,1,1988,2.0
692,692,46,PAK,0,0,1,1,1988,3.0
693,693,46,PHL,0,0,1,1,1988,2.0
694,694,46,THA,0,0,1,1,1988,3.0
695,695,2,USA,37,34,37,108,1992,5.0
696,696,3,DEU,33,21,28,82,1992,6.0
697,697,4,CHN,16,22,16,54,1992,7.0
698,698,5,CUB,14,6,11,31,1992,1.0
699,699,6,ESP,13,7,2,22,1992,2.0
700,700,7,KOR,12,5,12,29,1992,27.0
701,701,8,HUN,11,12,7,30,1992,4.0
702,702,9,FRA,8,5,16,29,1992,10.0
703,703,10,AUS,7,9,11,27,1992,37.0
704,704,11,CAN,7,4,7,18,1992,32.0
705,705,12,ITA,6,5,8,19,1992,33.0
706,706,13,GBR,5,3,12,20,1992,20.0
707,707,14,ROU,4,6,8,18,1992,13.0
709,709,16,PRK,4,0,5,9,1992,21.0
710,710,17,JPN,3,8,11,22,1992,8.0
711,711,18,BGR,3,7,6,16,1992,11.0
712,712,19,POL,3,6,10,19,1992,12.0
713,713,20,NLD,2,6,7,15,1992,18.0
714,714,21,KEN,2,4,2,8,1992,6.0
715,715,22,NOR,2,4,1,7,1992,46.0
716,716,23,TUR,2,2,2,6,1992,117.0
717,717,24,IDN,2,2,1,5,1992,108.0
718,718,25,BRA,2,1,0,3,1992,100.0
719,719,26,GRC,2,0,0,2,1992,125.0
720,720,27,SWE,1,7,4,12,1992,118.0
721,721,28,NZL,1,4,5,10,1992,93.0
722,722,29,FIN,1,2,2,5,1992,74.0
723,723,30,DNK,1,1,4,6,1992,85.0
724,724,31,MAR,1,1,1,3,1992,11.0
725,725,32,IRL,1,1,0,2,1992,2.0
726,726,33,ETH,1,0,2,3,1992,6.0
727,727,34,DZA,1,0,1,2,1992,13.0
728,728,34,EST,1,0,1,2,1992,1.0
729,729,34,LTU,1,0,1,2,1992,3.0
730,730,37,CHE,1,0,0,1,1992,112.0
731,731,38,JAM,0,3,1,4,1992,57.0
732,732,38,NGA,0,3,1,4,1992,24.0
733,733,40,LVA,0,2,1,3,1992,21.0
734,734,41,AUT,0,2,0,2,1992,76.0
735,735,41,NAM,0,2,0,2,1992,227.0
736,736,41,ZAF,0,2,0,2,1992,201.0
737,737,44,BEL,0,1,2,3,1992,194.0
738,738,44,HRV,0,1,2,3,1992,288.0
739,739,44,IRN,0,1,2,3,1992,196.0
740,740,48,ISR,0,1,1,2,1992,178.0
741,741,49,TWN,0,1,0,1,1992,271.0
742,742,49,MEX,0,1,0,1,1992,177.0
743,743,49,PER,0,1,0,1,1992,171.0
744,744,52,MNG,0,0,2,2,1992,118.0
745,745,52,SVN,0,0,2,2,1992,143.0
746,746,54,ARG,0,0,1,1,1992,82.0
747,747,54,BHS,0,0,1,1,1992,69.0
748,748,54,COL,0,0,1,1,1992,15.0
749,749,54,GHA,0,0,1,1,1992,12.0
750,750,54,MYS,0,0,1,1,1992,11.0
751,751,54,PAK,0,0,1,1,1992,19.0
752,752,54,PHL,0,0,1,1,1992,24.0
753,753,54,PRI,0,0,1,1,1992,24.0
754,754,54,QAT,0,0,1,1,1992,21.0
755,755,54,SUR,0,0,1,1,1992,18.0
756,756,54,THA,0,0,1,1,1992,13.0
757,757,1,USA,44,32,25,101,1996,21.0
758,758,2,RUS,26,21,16,63,1996,23.0
759,759,3,DEU,20,18,27,65,1996,23.0
760,760,4,CHN,16,22,12,50,1996,169.0
761,761,5,FRA,15,7,15,37,1996,162.0
762,762,6,ITA,13,10,12,35,1996,171.0
763,763,7,AUS,9,9,23,41,1996,158.0
764,764,8,CUB,9,8,8,25,1996,159.0
765,765,9,UKR,9,2,12,23,1996,135.0
766,766,10,KOR,7,15,5,27,1996,151.0
767,767,11,POL,7,5,5,17,1996,149.0
768,768,12,HUN,7,4,10,21,1996,15.0
769,769,13,ESP,5,6,6,17,1996,36.0
770,770,14,ROU,4,7,9,20,1996,68.0
771,771,15,NLD,4,5,10,19,1996,107.0
772,772,16,GRC,4,4,0,8,1996,233.0
773,773,17,CZE,4,3,4,11,1996,246.0
774,774,18,CHE,4,3,0,7,1996,158.0
775,775,19,DNK,4,1,1,6,1996,122.0
776,776,19,TUR,4,1,1,6,1996,94.0
777,777,21,CAN,3,11,8,22,1996,173.0
778,778,22,BGR,3,7,5,15,1996,253.0
779,779,23,JPN,3,6,5,14,1996,201.0
780,780,24,KAZ,3,4,4,11,1996,51.0
781,781,25,BRA,3,3,9,15,1996,109.0
782,782,26,NZL,3,2,1,6,1996,71.0
783,783,27,ZAF,3,1,1,5,1996,93.0
784,784,28,IRL,3,0,1,4,1996,155.0
785,785,29,SWE,2,4,2,8,1996,81.0
786,786,30,NOR,2,2,3,7,1996,60.0
787,787,31,BEL,2,2,2,6,1996,74.0
788,788,32,NGA,2,1,3,6,1996,130.0
789,789,33,PRK,2,1,2,5,1996,144.0
790,790,34,DZA,2,0,1,3,1996,145.0
791,791,34,ETH,2,0,1,3,1996,124.0
792,792,36,GBR,1,8,6,15,1996,115.0
793,793,37,BLR,1,6,8,15,1996,108.0
794,794,38,KEN,1,4,3,8,1996,149.0
795,795,39,JAM,1,3,2,6,1996,143.0
796,796,40,FIN,1,2,1,4,1996,138.0
797,797,41,YUG,1,1,2,4,1996,161.0
798,798,41,IDN,1,1,2,4,1996,3.0
799,799,43,IRN,1,1,1,3,1996,6.0
800,800,43,SVK,1,1,1,3,1996,8.0
801,801,45,ARM,1,1,0,2,1996,5.0
802,802,45,HRV,1,1,0,2,1996,2.0
803,803,47,PRT,1,0,1,2,1996,2.0
804,804,47,THA,1,0,1,2,1996,4.0
805,805,49,BDI,1,0,0,1,1996,8.0
806,806,49,CRI,1,0,0,1,1996,5.0
807,807,49,ECU,1,0,0,1,1996,7.0
808,808,49,HKG,1,0,0,1,1996,6.0
809,809,49,SYR,1,0,0,1,1996,4.0
810,810,54,ARG,0,2,1,3,1996,2.0
811,811,55,NAM,0,2,0,2,1996,2.0
812,812,55,SVN,0,2,0,2,1996,2.0
813,813,57,AUT,0,1,2,3,1996,2.0
814,814,58,MYS,0,1,1,2,1996,2.0
815,815,58,MDA,0,1,1,2,1996,4.0
816,816,58,UZB,0,1,1,2,1996,1.0
817,817,61,AZE,0,1,0,1,1996,24.0
818,818,61,BHS,0,1,0,1,1996,5.0
819,819,61,TWN,0,1,0,1,1996,11.0
820,820,61,LVA,0,1,0,1,1996,7.0
821,821,61,PHL,0,1,0,1,1996,24.0
822,822,61,TON,0,1,0,1,1996,18.0
823,823,61,ZMB,0,1,0,1,1996,32.0
824,824,68,GEO,0,0,2,2,1996,16.0
825,825,68,MAR,0,0,2,2,1996,13.0
826,826,68,TTO,0,0,2,2,1996,33.0
827,827,71,IND,0,0,1,1,1996,27.0
828,828,71,ISR,0,0,1,1,1996,36.0
829,829,71,LTU,0,0,1,1,1996,30.0
830,830,71,MEX,0,0,1,1,1996,69.0
831,831,71,MNG,0,0,1,1,1996,64.0
832,832,71,MOZ,0,0,1,1,1996,4.0
833,833,71,PRI,0,0,1,1,1996,41.0
834,834,71,TUN,0,0,1,1,1996,4.0
835,835,71,UGA,0,0,1,1,1996,8.0
836,836,1,USA,37,24,32,93,2000,16.0
837,837,2,RUS,32,28,29,89,2000,15.0
838,838,3,CHN,28,16,14,58,2000,15.0
839,839,4,AUS,16,25,17,58,2000,15.0
840,840,5,DEU,13,17,26,56,2000,28.0
841,841,6,FRA,13,14,11,38,2000,11.0
842,842,7,ITA,13,8,13,34,2000,18.0
843,843,8,NLD,12,9,4,25,2000,26.0
844,844,9,CUB,11,11,7,29,2000,36.0
845,845,10,GBR,11,10,7,28,2000,40.0
846,846,11,ROU,11,6,9,26,2000,52.0
847,847,12,KOR,8,10,10,28,2000,47.0
848,848,13,HUN,8,6,3,17,2000,5.0
849,849,14,POL,6,5,3,14,2000,22.0
850,850,15,JPN,5,8,5,18,2000,30.0
851,851,16,BGR,5,6,2,13,2000,43.0
852,852,17,GRC,4,6,3,13,2000,66.0
853,853,18,SWE,4,5,3,12,2000,166.0
854,854,19,NOR,4,3,3,10,2000,196.0
855,855,20,ETH,4,1,3,8,2000,6.0
856,856,21,UKR,3,10,10,23,2000,83.0
857,857,22,KAZ,3,4,0,7,2000,35.0
858,858,23,BLR,3,3,11,17,2000,26.0
859,859,24,CAN,3,3,8,14,2000,26.0
860,860,25,ESP,3,3,5,11,2000,148.0
861,861,26,TUR,3,0,2,5,2000,59.0
862,862,27,IRN,3,0,1,4,2000,83.0
863,863,28,CZE,2,3,3,8,2000,33.0
864,864,29,KEN,2,3,2,7,2000,103.0
865,865,30,DNK,2,3,1,6,2000,104.0
866,866,31,FIN,2,1,1,4,2000,116.0
867,867,32,AUT,2,1,0,3,2000,132.0
868,868,33,LTU,2,0,3,5,2000,137.0
869,869,34,AZE,2,0,1,3,2000,195.0
870,870,34,BHS,2,0,1,3,2000,207.0
871,871,36,SVN,2,0,0,2,2000,35.0
872,872,37,CHE,1,6,2,9,2000,44.0
873,873,38,IDN,1,3,2,6,2000,3.0
874,874,39,SVK,1,3,1,5,2000,5.0
875,875,40,MEX,1,2,3,6,2000,11.0
876,876,41,NGA,1,2,0,3,2000,12.0
877,877,42,DZA,1,1,3,5,2000,12.0
878,878,43,UZB,1,1,2,4,2000,14.0
879,879,44,YUG,1,1,1,3,2000,12.0
880,880,44,LVA,1,1,1,3,2000,4.0
881,881,46,NZL,1,0,3,4,2000,104.0
882,882,47,EST,1,0,2,3,2000,18.0
883,883,47,THA,1,0,2,3,2000,15.0
884,884,49,HRV,1,0,1,2,2000,7.0
885,885,50,CMR,1,0,0,1,2000,6.0
886,886,50,COL,1,0,0,1,2000,10.0
887,887,50,MOZ,1,0,0,1,2000,10.0
888,888,53,BRA,0,6,6,12,2000,9.0
889,889,54,JAM,0,6,3,9,2000,14.0
890,890,55,BEL,0,2,3,5,2000,11.0
891,891,55,ZAF,0,2,3,5,2000,10.0
892,892,57,ARG,0,2,2,4,2000,7.0
893,893,58,TWN,0,1,4,5,2000,9.0
894,894,58,MAR,0,1,4,5,2000,12.0
895,895,60,PRK,0,1,3,4,2000,111.0
896,896,61,MDA,0,1,1,2,2000,151.0
897,897,61,SAU,0,1,1,2,2000,106.0
898,898,61,TTO,0,1,1,2,2000,8.0
899,899,64,IRL,0,1,0,1,2000,84.0
900,900,64,LKA,0,1,0,1,2000,42.0
901,901,64,URY,0,1,0,1,2000,12.0
902,902,64,VNM,0,1,0,1,2000,238.0
903,903,68,GEO,0,0,6,6,2000,67.0
904,904,69,CRI,0,0,2,2,2000,137.0
905,905,69,PRT,0,0,2,2,2000,162.0
906,906,71,ARM,0,0,1,1,2000,160.0
907,907,71,BRB,0,0,1,1,2000,211.0
908,908,71,CHL,0,0,1,1,2000,257.0
909,909,71,ISL,0,0,1,1,2000,317.0
910,910,71,IND,0,0,1,1,2000,537.0
911,911,71,ISR,0,0,1,1,2000,384.0
912,912,71,KWT,0,0,1,1,2000,431.0
913,913,71,KGZ,0,0,1,1,2000,423.0
914,914,71,MKD,0,0,1,1,2000,355.0
915,915,71,QAT,0,0,1,1,2000,339.0
916,916,1,USA,36,39,26,101,2004,363.0
917,917,2,CHN,32,17,14,63,2004,429.0
918,918,3,RUS,28,26,36,90,2004,526.0
919,919,4,AUS,17,16,17,50,2004,20.0
920,920,5,JPN,16,9,12,37,2004,47.0
921,921,6,DEU,13,16,20,49,2004,23.0
922,922,7,FRA,11,9,13,33,2004,3.0
923,923,8,ITA,10,11,11,32,2004,36.0
924,924,9,KOR,9,12,9,30,2004,46.0
925,925,10,GBR,9,9,12,30,2004,52.0
926,926,11,CUB,9,7,11,27,2004,41.0
927,927,12,HUN,8,6,3,17,2004,45.0
928,928,13,UKR,8,5,9,22,2004,53.0
929,929,14,ROU,8,5,6,19,2004,36.0
930,930,15,GRC,6,6,4,16,2004,49.0
931,931,16,BRA,5,2,3,10,2004,42.0
932,932,17,NOR,5,0,1,6,2004,26.0
933,933,18,NLD,4,9,9,22,2004,30.0
934,934,19,SWE,4,2,1,7,2004,15.0
935,935,20,ESP,3,11,6,20,2004,19.0
936,936,21,CAN,3,6,3,12,2004,26.0
937,937,22,TUR,3,3,4,10,2004,40.0
938,938,23,POL,3,2,5,10,2004,48.0
939,939,24,NZL,3,2,0,5,2004,24.0
940,940,25,THA,3,1,4,8,2004,19.0
941,941,26,BLR,2,5,6,13,2004,27.0
942,942,27,AUT,2,4,1,7,2004,27.0
943,943,28,ETH,2,3,2,7,2004,29.0
944,944,29,IRN,2,2,2,6,2004,34.0
945,945,29,SVK,2,2,2,6,2004,38.0
946,946,31,TWN,2,2,1,5,2004,38.0
947,947,32,GEO,2,2,0,4,2004,35.0
948,948,33,BGR,2,1,9,12,2004,650.0
949,949,34,DNK,2,1,5,8,2004,5.0
950,950,35,JAM,2,1,2,5,2004,3.0
951,951,35,UZB,2,1,2,5,2004,1.0
952,952,37,MAR,2,1,0,3,2004,4.0
953,953,38,ARG,2,0,4,6,2004,5.0
954,954,39,CHL,2,0,1,3,2004,26.0
955,955,40,KAZ,1,4,3,8,2004,41.0
956,956,41,KEN,1,4,2,7,2004,36.0
957,957,42,CZE,1,3,5,9,2004,21.0
958,958,43,ZAF,1,3,2,6,2004,9.0
959,959,44,HRV,1,2,2,5,2004,9.0
960,960,45,LTU,1,2,0,3,2004,6.0
961,961,46,EGY,1,1,3,5,2004,9.0
962,962,46,CHE,1,1,3,5,2004,53.0
963,963,48,IDN,1,1,2,4,2004,32.0
964,964,49,ZWE,1,1,1,3,2004,36.0
965,965,50,AZE,1,0,4,5,2004,18.0
966,966,51,BEL,1,0,2,3,2004,94.0
967,967,52,BHS,1,0,1,2,2004,233.0
968,968,52,ISR,1,0,1,2,2004,136.0
969,969,54,CMR,1,0,0,1,2004,253.0
970,970,54,DOM,1,0,0,1,2004,132.0
971,971,54,ARE,1,0,0,1,2004,66.0
972,972,57,PRK,0,4,1,5,2004,186.0
973,973,58,LVA,0,4,0,4,2004,215.0
974,974,59,MEX,0,3,1,4,2004,412.0
975,975,60,PRT,0,2,1,3,2004,147.0
976,976,61,FIN,0,2,0,2,2004,219.0
978,978,63,SVN,0,1,3,4,2004,126.0
979,979,64,EST,0,1,2,3,2004,133.0
980,980,65,HKG,0,1,0,1,2004,108.0
981,981,65,IND,0,1,0,1,2004,125.0
982,982,65,PRY,0,1,0,1,2004,107.0
983,983,68,COL,0,0,2,2,2004,101.0
984,984,68,NGA,0,0,2,2,2004,130.0
985,985,68,VEN,0,0,2,2,2004,105.0
986,986,71,ERI,0,0,1,1,2004,88.0
987,987,71,MNG,0,0,1,1,2004,67.0
988,988,71,SYR,0,0,1,1,2004,70.0
989,989,71,TTO,0,0,1,1,2004,69.0
990,990,1,CHN,48,22,30,100,2008,67.0
991,991,2,USA,36,39,37,112,2008,49.0
992,992,3,RUS,24,13,23,60,2008,62.0
993,993,4,GBR,19,13,19,51,2008,26.0
994,994,5,DEU,16,11,14,41,2008,1071.0
995,995,6,AUS,14,15,17,46,2008,2.0
996,996,7,KOR,13,11,8,32,2008,174.0
997,997,8,JPN,9,8,8,25,2008,319.0
998,998,9,ITA,8,9,10,27,2008,232.0
999,999,10,FRA,7,16,20,43,2008,452.0
1000,1000,11,NLD,7,5,4,16,2008,636.0
1001,1001,12,UKR,7,4,11,22,2008,422.0
1002,1002,13,KEN,6,4,6,16,2008,159.0
1003,1003,14,ESP,5,11,3,19,2008,303.0
1004,1004,15,JAM,5,4,2,11,2008,433.0
1005,1005,16,POL,4,5,2,11,2008,408.0
1006,1006,17,ETH,4,2,1,7,2008,227.0
1007,1007,18,ROU,4,1,4,9,2008,363.0
1008,1008,19,CUB,3,10,17,30,2008,214.0
1009,1009,20,CAN,3,9,8,20,2008,311.0
1010,1010,21,HUN,3,5,2,10,2008,356.0
1011,1011,22,NOR,3,5,1,9,2008,302.0
1012,1012,23,BRA,3,4,10,17,2008,200.0
1013,1013,24,BLR,3,4,7,14,2008,354.0
1014,1014,25,CZE,3,3,1,7,2008,413.0
1015,1015,26,SVK,3,3,0,6,2008,486.0
1016,1016,27,NZL,3,2,4,9,2008,453.0
1017,1017,28,GEO,3,2,2,7,2008,470.0
1018,1018,29,KAZ,2,3,4,9,2008,461.0
1019,1019,30,DNK,2,2,3,7,2008,448.0
1020,1020,31,PRK,2,2,2,6,2008,426.0
1021,1021,31,THA,2,2,2,6,2008,512.0
1022,1022,33,MNG,2,2,0,4,2008,538.0
1023,1023,34,CHE,2,1,4,7,2008,801.0
1024,1024,35,ARG,2,0,4,6,2008,432.0
1025,1025,36,MEX,2,0,2,4,2008,587.0
1026,1026,37,BEL,2,0,0,2,2008,452.0
1027,1027,38,ZWE,1,3,0,4,2008,571.0
1028,1028,39,SVN,1,2,2,5,2008,516.0
1029,1029,40,AZE,1,1,4,6,2008,5.0
1030,1030,40,IDN,1,1,4,6,2008,5.0
1031,1031,42,BGR,1,1,3,5,2008,5.0
1032,1032,42,TUR,1,1,3,5,2008,6.0
1033,1033,44,TWN,1,1,2,4,2008,5.0
1034,1034,44,FIN,1,1,2,4,2008,3.0
1035,1035,46,LVA,1,1,1,3,2008,3.0
1036,1036,47,DOM,1,1,0,2,2008,1.0
1037,1037,47,EST,1,1,0,2,2008,4.0
1038,1038,47,PRT,1,1,0,2,2008,2.0
1039,1039,47,TTO,1,1,0,2,2008,5.0
1040,1040,51,IND,1,0,2,3,2008,9.0
1041,1041,52,IRN,1,0,1,2,2008,6.0
1042,1042,53,CMR,1,0,0,1,2008,5.0
1043,1043,53,PAN,1,0,0,1,2008,4.0
1044,1044,53,TUN,1,0,0,1,2008,21.0
1045,1045,56,SWE,0,4,1,5,2008,6.0
1046,1046,57,LTU,0,3,2,5,2008,5.0
1047,1047,57,NGA,0,3,2,5,2008,5.0
1048,1048,59,HRV,0,2,3,5,2008,16.0
1049,1049,60,COL,0,2,1,3,2008,6.0
1050,1050,60,GRC,0,2,1,3,2008,8.0
1051,1051,62,ARM,0,1,4,5,2008,12.0
1052,1052,63,UZB,0,1,3,4,2008,2.0
1053,1053,64,AUT,0,1,2,3,2008,3.0
1054,1054,64,IRL,0,1,2,3,2008,3.0
1055,1055,64,KGZ,0,1,2,3,2008,2.0
1056,1056,64,SRB,0,1,2,3,2008,4.0
1057,1057,68,DZA,0,1,1,2,2008,5.0
1058,1058,68,BHS,0,1,1,2,2008,8.0
1059,1059,68,MAR,0,1,1,2,2008,25.0
1060,1060,68,TJK,0,1,1,2,2008,146.0
1061,1061,72,CHL,0,1,0,1,2008,6.0
1062,1062,72,ECU,0,1,0,1,2008,113.0
1063,1063,72,ISL,0,1,0,1,2008,972.0
1064,1064,72,MYS,0,1,0,1,2008,461.0
1065,1065,72,WSM,0,1,0,1,2008,345.0
1066,1066,72,SGP,0,1,0,1,2008,428.0
1067,1067,72,ZAF,0,1,0,1,2008,354.0
1068,1068,72,SDN,0,1,0,1,2008,170.0
1069,1069,72,VNM,0,1,0,1,2008,250.0
1070,1070,81,EGY,0,0,2,2,2008,590.0
1071,1071,82,AFG,0,0,1,1,2008,401.0
1072,1072,82,ISR,0,0,1,1,2008,283.0
1073,1073,82,MUS,0,0,1,1,2008,389.0
1074,1074,82,MDA,0,0,1,1,2008,301.0
1075,1075,82,TGO,0,0,1,1,2008,328.0
1076,1076,82,VEN,0,0,1,1,2008,433.0
1077,1077,1,USA,48,26,30,104,2012,353.0
1078,1078,2,CHN,39,31,22,92,2012,328.0
1079,1079,3,GBR,29,18,18,65,2012,509.0
1080,1080,4,RUS,18,21,26,65,2012,472.0
1081,1081,5,KOR,13,9,9,31,2012,512.0
1082,1082,6,DEU,11,20,13,44,2012,391.0
1083,1083,7,FRA,11,11,13,35,2012,415.0
1084,1084,8,AUS,8,15,12,35,2012,360.0
1085,1085,9,ITA,8,9,11,28,2012,420.0
1086,1086,10,HUN,8,4,6,18,2012,684.0
1087,1087,11,JPN,7,14,17,38,2012,478.0
1088,1088,12,IRN,7,5,1,13,2012,548.0
1089,1089,13,NLD,6,6,8,20,2012,533.0
1090,1090,14,NZL,6,2,5,13,2012,3.0
1091,1091,15,UKR,5,4,10,19,2012,3.0
1092,1092,16,CUB,5,3,7,15,2012,3.0
1093,1093,17,ESP,4,10,6,20,2012,3.0
1094,1094,18,JAM,4,5,4,13,2012,4.0
1095,1095,19,CZE,4,4,3,11,2012,5.0
1096,1096,20,ZAF,4,1,1,6,2012,4.0
1097,1097,21,PRK,4,0,2,6,2012,6.0
1098,1098,22,BRA,3,5,9,17,2012,346.0
1099,1099,23,KAZ,3,2,6,11,2012,454.0
1100,1100,23,POL,3,2,6,11,2012,407.0
1101,1101,25,ETH,3,2,3,8,2012,495.0
1102,1102,26,HRV,3,1,2,6,2012,402.0
1103,1103,27,CAN,2,6,10,18,2012,42.0
1104,1104,28,BLR,2,5,3,10,2012,47.0
1105,1105,29,KEN,2,4,7,13,2012,39.0
1106,1106,30,DNK,2,4,3,9,2012,38.0
1107,1107,31,ROU,2,4,1,7,2012,36.0
1108,1108,32,AZE,2,2,5,9,2012,45.0
1109,1109,33,CHE,2,2,0,4,2012,36.0
1110,1110,34,NOR,2,1,1,4,2012,38.0
1111,1111,35,LTU,2,0,3,5,2012,5.0
1112,1112,36,TUN,2,0,1,3,2012,7.0
1113,1113,37,SWE,1,4,3,8,2012,8.0
1114,1114,38,COL,1,3,5,9,2012,8.0
1115,1115,39,MEX,1,3,4,8,2012,4.0
1116,1116,40,GEO,1,2,3,6,2012,2.0
1117,1117,41,IRL,1,1,4,6,2012,3.0
1118,1118,42,ARG,1,1,2,4,2012,2.0
1119,1119,42,SRB,1,1,2,4,2012,1.0
1120,1120,42,SVN,1,1,2,4,2012,3.0
1121,1121,42,TTO,1,1,2,4,2012,3.0
1122,1122,46,TUR,1,1,1,3,2012,94.0
1123,1123,47,DOM,1,1,0,2,2012,103.0
1124,1124,48,TWN,1,0,1,2,2012,55.0
1125,1125,48,LVA,1,0,1,2,2012,157.0
1126,1126,50,DZA,1,0,0,1,2012,148.0
1127,1127,50,BHS,1,0,0,1,2012,312.0
1128,1128,50,BHR,1,0,0,1,2012,399.0
1129,1129,50,GRD,1,0,0,1,2012,202.0
1130,1130,50,UGA,1,0,0,1,2012,581.0
1131,1131,50,VEN,1,0,0,1,2012,365.0
1132,1132,56,EGY,0,3,1,4,2012,261.0
1133,1133,57,IND,0,2,4,6,2012,425.0
1134,1134,58,MNG,0,2,3,5,2012,478.0
1135,1135,59,THA,0,2,2,4,2012,653.0
1136,1136,60,BGR,0,2,1,3,2012,626.0
1137,1137,60,FIN,0,2,1,3,2012,567.0
1138,1138,60,IDN,0,2,1,3,2012,592.0
