Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants,host_flag
3,DEU,33,21,28,82,1992,6,0
4,CHN,16,22,16,54,1992,7,0
5,CUB,14,6,11,31,1992,1,0
6,ESP,13,7,2,22,1992,2,1
7,KOR,12,5,12,29,1992,27,0
8,HUN,11,12,7,30,1992,4,0
9,FRA,8,5,16,29,1992,10,0
10,AUS,7,9,11,27,1992,37,0
11,CAN,7,4,7,18,1992,32,0
12,ITA,6,5,8,19,1992,33,0
13,GBR,5,3,12,20,1992,20,0
14,ROU,4,6,8,18,1992,13,0
16,PRK,4,0,5,9,1992,21,0
17,JPN,3,8,11,22,1992,8,0
18,BGR,3,7,6,16,1992,11,0
19,POL,3,6,10,19,1992,12,0
20,NLD,2,6,7,15,1992,18,0
21,KEN,2,4,2,8,1992,6,0
22,NOR,2,4,1,7,1992,46,0
23,TUR,2,2,2,6,1992,117,0
24,IDN,2,2,1,5,1992,108,0
25,BRA,2,1,0,3,1992,100,0
26,GRC,2,0,0,2,1992,125,0
27,SWE,1,7,4,12,1992,118,0
28,NZL,1,4,5,10,1992,93,0
29,FIN,1,2,2,5,1992,74,0
30,DNK,1,1,4,6,1992,85,0
31,MAR,1,1,1,3,1992,11,0
32,IRL,1,1,0,2,1992,2,0
33,ETH,1,0,2,3,1992,6,0
34,DZA,1,0,1,2,1992,13,0
34,EST,1,0,1,2,1992,1,0
34,LTU,1,0,1,2,1992,3,0
37,CHE,1,0,0,1,1992,112,0
38,JAM,0,3,1,4,1992,57,0
38,NGA,0,3,1,4,1992,24,0
40,LVA,0,2,1,3,1992,21,0
41,AUT,0,2,0,2,1992,76,0
41,NAM,0,2,0,2,1992,227,0
41,ZAF,0,2,0,2,1992,201,0
44,BEL,0,1,2,3,1992,194,0
44,HRV,0,1,2,3,1992,288,0
44,IRN,0,1,2,3,1992,196,0
48,ISR,0,1,1,2,1992,178,0
49,TWN,0,1,0,1,1992,271,0
49,MEX,0,1,0,1,1992,177,0
49,PER,0,1,0,1,1992,171,0
52,MNG,0,0,2,2,1992,118,0
52,SVN,0,0,2,2,1992,143,0
54,ARG,0,0,1,1,1992,82,0
54,BHS,0,0,1,1,1992,69,0
54,COL,0,0,1,1,1992,15,0
54,GHA,0,0,1,1,1992,12,0
54,MYS,0,0,1,1,1992,11,0
54,PAK,0,0,1,1,1992,19,0
54,PHL,0,0,1,1,1992,24,0
54,PRI,0,0,1,1,1992,24,0
54,QAT,0,0,1,1,1992,21,0
54,SUR,0,0,1,1,1992,18,0
54,THA,0,0,1,1,1992,13,0
1,USA,44,32,25,101,1996,21,1
2,RUS,26,21,16,63,1996,23,0
3,DEU,20,18,27,65,1996,23,0
4,CHN,16,22,12,50,1996,169,0
5,FRA,15,7,15,37,1996,162,0
6,ITA,13,10,12,35,1996,171,0
7,AUS,9,9,23,41,1996,158,0
8,CUB,9,8,8,25,1996,159,0
9,UKR,9,2,12,23,1996,135,0
10,KOR,7,15,5,27,1996,151,0
11,POL,7,5,5,17,1996,149,0
12,HUN,7,4,10,21,1996,15,0
13,ESP,5,6,6,17,1996,36,0
14,ROU,4,7,9,20,1996,68,0
15,NLD,4,5,10,19,1996,107,0
16,GRC,4,4,0,8,1996,233,0
17,CZE,4,3,4,11,1996,246,0
18,CHE,4,3,0,7,1996,158,0
19,DNK,4,1,1,6,1996,122,0
19,TUR,4,1,1,6,1996,94,0
21,CAN,3,11,8,22,1996,173,0
22,BGR,3,7,5,15,1996,253,0
23,JPN,3,6,5,14,1996,201,0
24,KAZ,3,4,4,11,1996,51,0
25,BRA,3,3,9,15,1996,109,0
26,NZL,3,2,1,6,1996,71,0
27,ZAF,3,1,1,5,1996,93,0
28,IRL,3,0,1,4,1996,155,0
29,SWE,2,4,2,8,1996,81,0
30,NOR,2,2,3,7,1996,60,0
31,BEL,2,2,2,6,1996,74,0
32,NGA,2,1,3,6,1996,130,0
33,PRK,2,1,2,5,1996,144,0
34,DZA,2,0,1,3,1996,145,0
34,ETH,2,0,1,3,1996,124,0
36,GBR,1,8,6,15,1996,115,0
37,BLR,1,6,8,15,1996,108,0
38,KEN,1,4,3,8,1996,149,0
39,JAM,1,3,2,6,1996,143,0
40,FIN,1,2,1,4,1996,138,0
41,YUG,1,1,2,4,1996,161,0
41,IDN,1,1,2,4,1996,3,0
43,IRN,1,1,1,3,1996,6,0
43,SVK,1,1,1,3,1996,8,0
45,ARM,1,1,0,2,1996,5,0
45,HRV,1,1,0,2,1996,2,0
47,PRT,1,0,1,2,1996,2,0
47,THA,1,0,1,2,1996,4,0
49,BDI,1,0,0,1,1996,8,0
49,CRI,1,0,0,1,1996,5,0
49,ECU,1,0,0,1,1996,7,0
49,HKG,1,0,0,1,1996,6,0
49,SYR,1,0,0,1,1996,4,0
54,ARG,0,2,1,3,1996,2,0
55,NAM,0,2,0,2,1996,2,0
55,SVN,0,2,0,2,1996,2,0
57,AUT,0,1,2,3,1996,2,0
58,MYS,0,1,1,2,1996,2,0
58,MDA,0,1,1,2,1996,4,0
58,UZB,0,1,1,2,1996,1,0
61,AZE,0,1,0,1,1996,24,0
61,BHS,0,1,0,1,1996,5,0
61,TWN,0,1,0,1,1996,11,0
61,LVA,0,1,0,1,1996,7,0
61,PHL,0,1,0,1,1996,24,0
61,TON,0,1,0,1,1996,18,0
61,ZMB,0,1,0,1,1996,32,0
68,GEO,0,0,2,2,1996,16,0
68,MAR,0,0,2,2,1996,13,0
68,TTO,0,0,2,2,1996,33,0
71,IND,0,0,1,1,1996,27,0
71,ISR,0,0,1,1,1996,36,0
71,LTU,0,0,1,1,1996,30,0
71,MEX,0,0,1,1,1996,69,0
71,MNG,0,0,1,1,1996,64,0
71,MOZ,0,0,1,1,1996,4,0
71,PRI,0,0,1,1,1996,41,0
71,TUN,0,0,1,1,1996,4,0
71,UGA,0,0,1,1,1996,8,0
1,USA,37,24,32,93,2000,16,0
2,RUS,32,28,29,89,2000,15,0
3,CHN,28,16,14,58,2000,15,0
4,AUS,16,25,17,58,2000,15,1
5,DEU,13,17,26,56,2000,28,0
6,FRA,13,14,11,38,2000,11,0
7,ITA,13,8,13,34,2000,18,0
8,NLD,12,9,4,25,2000,26,0
9,CUB,11,11,7,29,2000,36,0
10,GBR,11,10,7,28,2000,40,0
11,ROU,11,6,9,26,2000,52,0
12,KOR,8,10,10,28,2000,47,0
13,HUN,8,6,3,17,2000,5,0
14,POL,6,5,3,14,2000,22,0
15,JPN,5,8,5,18,2000,30,0
16,BGR,5,6,2,13,2000,43,0
17,GRC,4,6,3,13,2000,66,0
18,SWE,4,5,3,12,2000,166,0
19,NOR,4,3,3,10,2000,196,0
20,ETH,4,1,3,8,2000,6,0
21,UKR,3,10,10,23,2000,83,0
22,KAZ,3,4,0,7,2000,35,0
23,BLR,3,3,11,17,2000,26,0
24,CAN,3,3,8,14,2000,26,0
25,ESP,3,3,5,11,2000,148,0
26,TUR,3,0,2,5,2000,59,0
27,IRN,3,0,1,4,2000,83,0
28,CZE,2,3,3,8,2000,33,0
29,KEN,2,3,2,7,2000,103,0
30,DNK,2,3,1,6,2000,104,0
31,FIN,2,1,1,4,2000,116,0
32,AUT,2,1,0,3,2000,132,0
33,LTU,2,0,3,5,2000,137,0
34,AZE,2,0,1,3,2000,195,0
34,BHS,2,0,1,3,2000,207,0
36,SVN,2,0,0,2,2000,35,0
37,CHE,1,6,2,9,2000,44,0
38,IDN,1,3,2,6,2000,3,0
39,SVK,1,3,1,5,2000,5,0
40,MEX,1,2,3,6,2000,11,0
41,NGA,1,2,0,3,2000,12,0
42,DZA,1,1,3,5,2000,12,0
43,UZB,1,1,2,4,2000,14,0
44,YUG,1,1,1,3,2000,12,0
44,LVA,1,1,1,3,2000,4,0
46,NZL,1,0,3,4,2000,104,0
47,EST,1,0,2,3,2000,18,0
47,THA,1,0,2,3,2000,15,0
49,HRV,1,0,1,2,2000,7,0
50,CMR,1,0,0,1,2000,6,0
50,COL,1,0,0,1,2000,10,0
50,MOZ,1,0,0,1,2000,10,0
53,BRA,0,6,6,12,2000,9,0
54,JAM,0,6,3,9,2000,14,0
55,BEL,0,2,3,5,2000,11,0
55,ZAF,0,2,3,5,2000,10,0
57,ARG,0,2,2,4,2000,7,0
58,TWN,0,1,4,5,2000,9,0
58,MAR,0,1,4,5,2000,12,0
60,PRK,0,1,3,4,2000,111,0
61,MDA,0,1,1,2,2000,151,0
61,SAU,0,1,1,2,2000,106,0
61,TTO,0,1,1,2,2000,8,0
64,IRL,0,1,0,1,2000,84,0
64,LKA,0,1,0,1,2000,42,0
64,URY,0,1,0,1,2000,12,0
64,VNM,0,1,0,1,2000,238,0
68,GEO,0,0,6,6,2000,67,0
69,CRI,0,0,2,2,2000,137,0
69,PRT,0,0,2,2,2000,162,0
71,ARM,0,0,1,1,2000,160,0
71,BRB,0,0,1,1,2000,211,0
71,CHL,0,0,1,1,2000,257,0
71,ISL,0,0,1,1,2000,317,0
71,IND,0,0,1,1,2000,537,0
71,ISR,0,0,1,1,2000,384,0
71,KWT,0,0,1,1,2000,431,0
71,KGZ,0,0,1,1,2000,423,0
71,MKD,0,0,1,1,2000,355,0
71,QAT,0,0,1,1,2000,339,0
1,USA,36,39,26,101,2004,363,0
2,CHN,32,17,14,63,2004,429,0
3,RUS,28,26,36,90,2004,526,0
4,AUS,17,16,17,50,2004,20,0
5,JPN,16,9,12,37,2004,47,0
6,DEU,13,16,20,49,2004,23,0
7,FRA,11,9,13,33,2004,3,0
8,ITA,10,11,11,32,2004,36,0
9,KOR,9,12,9,30,2004,46,0
10,GBR,9,9,12,30,2004,52,0
11,CUB,9,7,11,27,2004,41,0
12,HUN,8,6,3,17,2004,45,0
13,UKR,8,5,9,22,2004,53,0
14,ROU,8,5,6,19,2004,36,0
15,GRC,6,6,4,16,2004,49,1
16,BRA,5,2,3,10,2004,42,0
17,NOR,5,0,1,6,2004,26,0
18,NLD,4,9,9,22,2004,30,0
19,SWE,4,2,1,7,2004,15,0
20,ESP,3,11,6,20,2004,19,0
21,CAN,3,6,3,12,2004,26,0
22,TUR,3,3,4,10,2004,40,0
23,POL,3,2,5,10,2004,48,0
24,NZL,3,2,0,5,2004,24,0
25,THA,3,1,4,8,2004,19,0
26,BLR,2,5,6,13,2004,27,0
27,AUT,2,4,1,7,2004,27,0
28,ETH,2,3,2,7,2004,29,0
29,IRN,2,2,2,6,2004,34,0
29,SVK,2,2,2,6,2004,38,0
31,TWN,2,2,1,5,2004,38,0
32,GEO,2,2,0,4,2004,35,0
33,BGR,2,1,9,12,2004,650,0
34,DNK,2,1,5,8,2004,5,0
35,JAM,2,1,2,5,2004,3,0
35,UZB,2,1,2,5,2004,1,0
37,MAR,2,1,0,3,2004,4,0
38,ARG,2,0,4,6,2004,5,0
39,CHL,2,0,1,3,2004,26,0
40,KAZ,1,4,3,8,2004,41,0
41,KEN,1,4,2,7,2004,36,0
42,CZE,1,3,5,9,2004,21,0
43,ZAF,1,3,2,6,2004,9,0
44,HRV,1,2,2,5,2004,9,0
45,LTU,1,2,0,3,2004,6,0
46,EGY,1,1,3,5,2004,9,0
46,CHE,1,1,3,5,2004,53,0
48,IDN,1,1,2,4,2004,32,0
49,ZWE,1,1,1,3,2004,36,0
50,AZE,1,0,4,5,2004,18,0
51,BEL,1,0,2,3,2004,94,0
52,BHS,1,0,1,2,2004,233,0
52,ISR,1,0,1,2,2004,136,0
54,CMR,1,0,0,1,2004,253,0
54,DOM,1,0,0,1,2004,132,0
54,ARE,1,0,0,1,2004,66,0
57,PRK,0,4,1,5,2004,186,0
58,LVA,0,4,0,4,2004,215,0
59,MEX,0,3,1,4,2004,412,0
60,PRT,0,2,1,3,2004,147,0
61,FIN,0,2,0,2,2004,219,0
63,SVN,0,1,3,4,2004,126,0
64,EST,0,1,2,3,2004,133,0
65,HKG,0,1,0,1,2004,108,0
65,IND,0,1,0,1,2004,125,0
65,PRY,0,1,0,1,2004,107,0
68,COL,0,0,2,2,2004,101,0
68,NGA,0,0,2,2,2004,130,0
68,VEN,0,0,2,2,2004,105,0
71,ERI,0,0,1,1,2004,88,0
71,MNG,0,0,1,1,2004,67,0
71,SYR,0,0,1,1,2004,70,0
71,TTO,0,0,1,1,2004,69,0
1,CHN,48,22,30,100,2008,67,1
2,USA,36,39,37,112,2008,49,0
3,RUS,24,13,23,60,2008,62,0
4,GBR,19,13,19,51,2008,26,0
5,DEU,16,11,14,41,2008,1071,0
6,AUS,14,15,17,46,2008,2,0
7,KOR,13,11,8,32,2008,174,0
8,JPN,9,8,8,25,2008,319,0
9,ITA,8,9,10,27,2008,232,0
10,FRA,7,16,20,43,2008,452,0
11,NLD,7,5,4,16,2008,636,0
12,UKR,7,4,11,22,2008,422,0
13,KEN,6,4,6,16,2008,159,0
14,ESP,5,11,3,19,2008,303,0
15,JAM,5,4,2,11,2008,433,0
16,POL,4,5,2,11,2008,408,0
17,ETH,4,2,1,7,2008,227,0
18,ROU,4,1,4,9,2008,363,0
19,CUB,3,10,17,30,2008,214,0
20,CAN,3,9,8,20,2008,311,0
21,HUN,3,5,2,10,2008,356,0
22,NOR,3,5,1,9,2008,302,0
23,BRA,3,4,10,17,2008,200,0
24,BLR,3,4,7,14,2008,354,0
25,CZE,3,3,1,7,2008,413,0
26,SVK,3,3,0,6,2008,486,0
27,NZL,3,2,4,9,2008,453,0
28,GEO,3,2,2,7,2008,470,0
29,KAZ,2,3,4,9,2008,461,0
30,DNK,2,2,3,7,2008,448,0
31,PRK,2,2,2,6,2008,426,0
31,THA,2,2,2,6,2008,512,0
33,MNG,2,2,0,4,2008,538,0
34,CHE,2,1,4,7,2008,801,0
35,ARG,2,0,4,6,2008,432,0
36,MEX,2,0,2,4,2008,587,0
37,BEL,2,0,0,2,2008,452,0
38,ZWE,1,3,0,4,2008,571,0
39,SVN,1,2,2,5,2008,516,0
40,AZE,1,1,4,6,2008,5,0
40,IDN,1,1,4,6,2008,5,0
42,BGR,1,1,3,5,2008,5,0
42,TUR,1,1,3,5,2008,6,0
44,TWN,1,1,2,4,2008,5,0
44,FIN,1,1,2,4,2008,3,0
46,LVA,1,1,1,3,2008,3,0
47,DOM,1,1,0,2,2008,1,0
47,EST,1,1,0,2,2008,4,0
47,PRT,1,1,0,2,2008,2,0
47,TTO,1,1,0,2,2008,5,0
51,IND,1,0,2,3,2008,9,0
52,IRN,1,0,1,2,2008,6,0
53,CMR,1,0,0,1,2008,5,0
53,PAN,1,0,0,1,2008,4,0
53,TUN,1,0,0,1,2008,21,0
56,SWE,0,4,1,5,2008,6,0
57,LTU,0,3,2,5,2008,5,0
57,NGA,0,3,2,5,2008,5,0
59,HRV,0,2,3,5,2008,16,0
60,COL,0,2,1,3,2008,6,0
60,GRC,0,2,1,3,2008,8,0
62,ARM,0,1,4,5,2008,12,0
63,UZB,0,1,3,4,2008,2,0
64,AUT,0,1,2,3,2008,3,0
64,IRL,0,1,2,3,2008,3,0
64,KGZ,0,1,2,3,2008,2,0
64,SRB,0,1,2,3,2008,4,0
68,DZA,0,1,1,2,2008,5,0
68,BHS,0,1,1,2,2008,8,0
68,MAR,0,1,1,2,2008,25,0
68,TJK,0,1,1,2,2008,146,0
72,CHL,0,1,0,1,2008,6,0
72,ECU,0,1,0,1,2008,113,0
72,ISL,0,1,0,1,2008,972,0
72,MYS,0,1,0,1,2008,461,0
72,WSM,0,1,0,1,2008,345,0
72,SGP,0,1,0,1,2008,428,0
72,ZAF,0,1,0,1,2008,354,0
72,SDN,0,1,0,1,2008,170,0
72,VNM,0,1,0,1,2008,250,0
81,EGY,0,0,2,2,2008,590,0
82,AFG,0,0,1,1,2008,401,0
82,ISR,0,0,1,1,2008,283,0
82,MUS,0,0,1,1,2008,389,0
82,MDA,0,0,1,1,2008,301,0
82,TGO,0,0,1,1,2008,328,0
82,VEN,0,0,1,1,2008,433,0
1,USA,48,26,30,104,2012,353,0
2,CHN,39,31,22,92,2012,328,0
3,GBR,29,18,18,65,2012,509,1
4,RUS,18,21,26,65,2012,472,0
5,KOR,13,9,9,31,2012,512,0
6,DEU,11,20,13,44,2012,391,0
7,FRA,11,11,13,35,2012,415,0
8,AUS,8,15,12,35,2012,360,0
9,ITA,8,9,11,28,2012,420,0
10,HUN,8,4,6,18,2012,684,0
11,JPN,7,14,17,38,2012,478,0
12,IRN,7,5,1,13,2012,548,0
13,NLD,6,6,8,20,2012,533,0
14,NZL,6,2,5,13,2012,3,0
15,UKR,5,4,10,19,2012,3,0
16,CUB,5,3,7,15,2012,3,0
17,ESP,4,10,6,20,2012,3,0
18,JAM,4,5,4,13,2012,4,0
19,CZE,4,4,3,11,2012,5,0
20,ZAF,4,1,1,6,2012,4,0
21,PRK,4,0,2,6,2012,6,0
22,BRA,3,5,9,17,2012,346,0
23,KAZ,3,2,6,11,2012,454,0
23,POL,3,2,6,11,2012,407,0
25,ETH,3,2,3,8,2012,495,0
26,HRV,3,1,2,6,2012,402,0
27,CAN,2,6,10,18,2012,42,0
28,BLR,2,5,3,10,2012,47,0
29,KEN,2,4,7,13,2012,39,0
30,DNK,2,4,3,9,2012,38,0
31,ROU,2,4,1,7,2012,36,0
32,AZE,2,2,5,9,2012,45,0
33,CHE,2,2,0,4,2012,36,0
34,NOR,2,1,1,4,2012,38,0
35,LTU,2,0,3,5,2012,5,0
36,TUN,2,0,1,3,2012,7,0
37,SWE,1,4,3,8,2012,8,0
38,COL,1,3,5,9,2012,8,0
39,MEX,1,3,4,8,2012,4,0
40,GEO,1,2,3,6,2012,2,0
41,IRL,1,1,4,6,2012,3,0
42,ARG,1,1,2,4,2012,2,0
42,SRB,1,1,2,4,2012,1,0
42,SVN,1,1,2,4,2012,3,0
42,TTO,1,1,2,4,2012,3,0
46,TUR,1,1,1,3,2012,94,0
47,DOM,1,1,0,2,2012,103,0
48,TWN,1,0,1,2,2012,55,0
48,LVA,1,0,1,2,2012,157,0
50,DZA,1,0,0,1,2012,148,0
50,BHS,1,0,0,1,2012,312,0
50,BHR,1,0,0,1,2012,399,0
50,GRD,1,0,0,1,2012,202,0
50,UGA,1,0,0,1,2012,581,0
50,VEN,1,0,0,1,2012,365,0
56,EGY,0,3,1,4,2012,261,0
57,IND,0,2,4,6,2012,425,0
58,MNG,0,2,3,5,2012,478,0
59,THA,0,2,2,4,2012,653,0
60,BGR,0,2,1,3,2012,626,0
60,FIN,0,2,1,3,2012,567,0
60,IDN,0,2,1,3,2012,592,0
63,SVK,0,1,3,4,2012,558,0
64,BEL,0,1,2,3,2012,510,0
65,ARM,0,1,1,2,2012,536,0
65,EST,0,1,1,2,2012,597,0
65,MYS,0,1,1,2,2012,647,0
65,PRI,0,1,1,2,2012,9,0
65,QAT,0,1,1,2,2012,15,0
70,BWA,0,1,0,1,2012,40,0
70,CYP,0,1,0,1,2012,36,0
70,GAB,0,1,0,1,2012,41,0
70,GTM,0,1,0,1,2012,27,0
70,MNE,0,1,0,1,2012,21,0
70,PRT,0,1,0,1,2012,41,0
76,UZB,0,0,3,3,2012,40,0
77,GRC,0,0,2,2,2012,28,0
77,SGP,0,0,2,2,2012,29,0
79,AFG,0,0,1,1,2012,9,0
79,CMR,0,0,1,1,2012,7,0
79,HKG,0,0,1,1,2012,15,0
79,KWT,0,0,1,1,2012,16,0
79,MAR,0,0,1,1,2012,11,0
79,SAU,0,0,1,1,2012,148,0
79,TJK,0,0,1,1,2012,4,0
79,VNM,0,0,1,1,2012,17,0
1,USA,46,37,38,121,2016,484,0
2,GBR,27,23,17,67,2016,49,0
3,CHN,26,18,26,70,2016,77,0
4,RUS,19,17,20,56,2016,98,0
5,DEU,17,10,15,42,2016,79,0
6,JPN,12,8,21,41,2016,47,0
7,FRA,10,18,14,42,2016,16,0
8,KOR,9,3,9,21,2016,64,0
9,ITA,8,12,8,28,2016,97,0
10,AUS,8,11,10,29,2016,54,0
11,NLD,8,7,4,19,2016,16,0
12,HUN,8,3,4,15,2016,59,0
13,BRA,7,6,6,19,2016,19,1
14,ESP,7,4,6,17,2016,44,0
15,KEN,6,6,1,13,2016,66,0
16,JAM,6,3,2,11,2016,40,0
17,HRV,5,3,2,10,2016,45,0
18,CUB,5,2,4,11,2016,73,0
19,NZL,4,9,5,18,2016,72,0
20,CAN,4,3,15,22,2016,76,0
21,UZB,4,2,7,13,2016,180,0
22,COL,3,2,3,8,2016,175,0
23,CHE,3,2,2,7,2016,499,0
24,IRN,3,1,4,8,2016,176,0
25,GRC,3,1,2,6,2016,115,0
26,ARG,3,1,0,4,2016,104,0
27,DNK,2,6,7,15,2016,100,0
28,SWE,2,6,3,11,2016,126,0
29,ZAF,2,6,2,10,2016,6,0
30,KAZ,2,5,10,17,2016,7,0
31,UKR,2,5,4,11,2016,5,0
32,SRB,2,4,2,8,2016,5,0
33,POL,2,3,6,11,2016,3,0
34,PRK,2,3,2,7,2016,5,0
35,BEL,2,2,2,6,2016,9,0
35,THA,2,2,2,6,2016,8,0
37,SVK,2,2,0,4,2016,6,0
38,GEO,2,1,4,7,2016,6,0
39,AZE,1,7,10,18,2016,6,0
40,BLR,1,4,4,9,2016,1,0
41,TUR,1,3,4,8,2016,35,0
42,ARM,1,3,0,4,2016,67,0
43,CZE,1,2,7,10,2016,11,0
44,ETH,1,2,5,8,2016,28,0
45,SVN,1,2,1,4,2016,10,0
46,IDN,1,2,0,3,2016,53,0
47,ROU,1,1,2,4,2016,37,0
48,BHR,1,1,0,2,2016,41,0
48,VNM,1,1,0,2,2016,28,0
50,TWN,1,0,2,3,2016,18,0
51,BHS,1,0,1,2,2016,19,0
51,CIV,1,0,1,2,2016,13,0
54,FJI,1,0,0,1,2016,24,0
54,JOR,1,0,0,1,2016,25,0
54,PRI,1,0,0,1,2016,16,0
54,SGP,1,0,0,1,2016,15,0
54,TJK,1,0,0,1,2016,10,0
60,MYS,0,4,1,5,2016,1,0
61,MEX,0,3,2,5,2016,7,0
62,VEN,0,2,1,3,2016,11,0
63,DZA,0,2,0,2,2016,5,0
63,IRL,0,2,0,2,2016,6,0
65,LTU,0,1,3,4,2016,4,0
66,BGR,0,1,2,3,2016,5,0
67,IND,0,1,1,2,2016,4,0
67,MNG,0,1,1,2,2016,5,0
69,BDI,0,1,0,1,2016,5,0
69,GRD,0,1,0,1,2016,25,0
69,NER,0,1,0,1,2016,26,0
69,PHL,0,1,0,1,2016,45,0
69,QAT,0,1,0,1,2016,9,0
74,NOR,0,0,4,4,2016,7,0
75,EGY,0,0,3,3,2016,4,0
75,TUN,0,0,3,3,2016,7,0
77,ISR,0,0,2,2,2016,8,0
78,AUT,0,0,1,1,2016,5,0
78,DOM,0,0,1,1,2016,5,0
78,EST,0,0,1,1,2016,9,0
78,FIN,0,0,1,1,2016,7,0
78,MAR,0,0,1,1,2016,1,0
78,NGA,0,0,1,1,2016,6,0
78,PRT,0,0,1,1,2016,6,0
78,TTO,0,0,1,1,2016,1,0
78,ARE,0,0,1,1,2016,6,0
1,USA,39,41,33,113,2020,4,0
2,CHN,38,32,19,89,2020,10,0
3,JPN,27,14,17,58,2020,12,1
4,GBR,22,20,22,64,2020,8,0
6,AUS,17,7,22,46,2020,9,0
7,NLD,10,12,14,36,2020,4,0
8,FRA,10,12,11,33,2020,4,0
9,DEU,10,11,16,37,2020,4,0
10,ITA,10,10,20,40,2020,6,0
11,CAN,7,7,10,24,2020,7,0
12,BRA,7,6,8,21,2020,7,0
13,NZL,7,6,7,20,2020,5,0
14,CUB,7,3,5,15,2020,4,0
15,HUN,6,7,7,20,2020,16,0
16,KOR,6,4,10,20,2020,3,0
17,POL,4,5,5,14,2020,3,0
18,CZE,4,4,3,11,2020,1,0
19,KEN,4,4,2,10,2020,7,0
20,NOR,4,2,2,8,2020,14,0
21,JAM,4,1,4,9,2020,3,0
22,ESP,3,8,6,17,2020,5,0
23,SWE,3,6,0,9,2020,8,0
24,CHE,3,4,6,13,2020,7,0
25,DNK,3,4,4,11,2020,5,0
26,HRV,3,3,2,8,2020,8,0
27,IRN,3,2,2,7,2020,7,0
28,SRB,3,1,5,9,2020,5,0
29,BEL,3,1,3,7,2020,10,0
30,BGR,3,1,2,6,2020,6,0
31,SVN,3,1,1,5,2020,12,0
32,UZB,3,0,2,5,2020,9,0
33,GEO,2,5,1,8,2020,4,0
34,TWN,2,4,6,12,2020,4,0
35,TUR,2,2,9,13,2020,50,0
36,GRC,2,1,1,4,2020,25,0
36,UGA,2,1,1,4,2020,18,0
38,ECU,2,1,0,3,2020,50,0
39,IRL,2,0,2,4,2020,87,0
39,ISR,2,0,2,4,2020,91,0
41,QAT,2,0,1,3,2020,66,0
42,BHS,2,0,0,2,2020,32,0
44,UKR,1,6,12,19,2020,42,0
45,BLR,1,3,3,7,2020,47,0
46,ROU,1,3,0,4,2020,55,0
46,VEN,1,3,0,4,2020,47,0
48,IND,1,2,4,7,2020,65,0
49,HKG,1,2,3,6,2020,51,0
50,PHL,1,2,1,4,2020,6,0
50,SVK,1,2,1,4,2020,3,0
52,ZAF,1,2,0,3,2020,26,0
53,AUT,1,1,5,7,2020,18,0
54,EGY,1,1,4,6,2020,27,0
55,IDN,1,1,3,5,2020,7,0
56,ETH,1,1,2,4,2020,20,0
56,PRT,1,1,2,4,2020,5,0
58,TUN,1,1,0,2,2020,26,0
59,EST,1,0,1,2,2020,25,0
59,FJI,1,0,1,2,2020,23,0
59,LVA,1,0,1,2,2020,28,0
59,THA,1,0,1,2,2020,4,0
63,BMU,1,0,0,1,2020,18,0
63,MAR,1,0,0,1,2020,34,0
63,PRI,1,0,0,1,2020,9,0
66,COL,0,4,1,5,2020,99,0
67,AZE,0,3,4,7,2020,107,0
68,DOM,0,3,2,5,2020,207,0
69,ARM,0,2,2,4,2020,140,0
70,KGZ,0,2,1,3,2020,219,0
71,MNG,0,1,3,4,2020,118,0
72,ARG,0,1,2,3,2020,335,0
72,SMR,0,1,2,3,2020,222,0
74,JOR,0,1,1,2,2020,345,0
74,MYS,0,1,1,2,2020,197,0
74,NGA,0,1,1,2,2020,312,0
77,BHR,0,1,0,1,2020,319,0
77,LTU,0,1,0,1,2020,303,0
77,NAM,0,1,0,1,2020,367,0
77,MKD,0,1,0,1,2020,288,0
77,SAU,0,1,0,1,2020,392,0
77,TKM,0,1,0,1,2020,315,0
83,KAZ,0,0,8,8,2020,351,0
84,MEX,0,0,4,4,2020,315,0
85,FIN,0,0,2,2,2020,238,0
86,BWA,0,0,1,1,2020,258,0
86,BFA,0,0,1,1,2020,216,0
86,GHA,0,0,1,1,2020,201,0
86,GRD,0,0,1,1,2020,204,0
86,CIV,0,0,1,1,2020,237,0
86,KWT,0,0,1,1,2020,255,0
86,MDA,0,0,1,1,2020,3,0
86,SYR,0,0,1,1,2020,24,0
1,USA,40,44,42,126,2024,27,0
2,CHN,40,27,24,91,2024,6,0
3,JPN,20,12,13,45,2024,7,0
4,AUS,18,19,16,53,2024,11,0
5,FRA,16,26,22,64,2024,23,1
6,NLD,15,7,12,34,2024,43,0
7,GBR,14,22,29,65,2024,51,0
8,KOR,13,9,10,32,2024,45,0
9,ITA,12,13,15,40,2024,54,0
10,DEU,12,13,8,33,2024,39,0
11,NZL,10,7,3,20,2024,26,0
12,CAN,9,7,11,27,2024,22,0
13,UZB,8,2,3,13,2024,31,0
14,HUN,6,7,6,19,2024,35,0
15,ESP,5,4,9,18,2024,36,0
16,SWE,4,4,3,11,2024,5,0
17,KEN,4,2,5,11,2024,7,0
18,NOR,4,1,3,8,2024,24,0
19,IRL,4,0,3,7,2024,24,0
20,BRA,3,7,10,20,2024,26,0
21,IRN,3,6,3,12,2024,30,0
22,UKR,3,5,4,12,2024,89,0
23,ROU,3,4,2,9,2024,94,0
24,GEO,3,3,1,7,2024,79,0
25,BEL,3,1,6,10,2024,49,0
26,BGR,3,1,3,7,2024,111,0
